CNUM_PK,CNAME,CTYPE,CCEO,CSIZE,CNOP,CESD,CPROD,CSITE,CSTATE,CINC,CANN
26,(주)심네트,응용 소프트웨어 개발 및 공급업,차진섭,"중소기업,주식회사,병역특례 인증업체",168명 (2023년 기준),1999.03.15,"소프트웨어 개발,공급,유지보수,자료처리/방송,유무선기기 제조/...",www.simnet.co.kr,대전 유성구 죽동로 157,"424억 8,855만원 (2023년 기준)",5087
27,(주) 셀바스에이아이,응용 소프트웨어 개발 및 공급업,곽민철,"코스닥,중소기업,주식회사,외부감사법인",180명 (2023년 기준),1999.03.31,"소프트웨어(필기인식,영상인식,필기인식,음성인식,음성합성,자...",www.selvasai.com,서울 금천구 가산디지털1로 19,0,5314
28,젬텍(주),응용 소프트웨어 개발 및 공급업,이원필,"중소기업,외부감사법인,주식회사",15명 (2022년 기준),2015.11.06,"응용소프트웨어 개발,공급 ",www.gemtek.co.kr,서울 강남구 테헤란로 322,"2,287억 393만원 (2022년 기준)",5939
29,퀄리티아(주),응용 소프트웨어 개발 및 공급업,김기영,"중소기업,외국인 투자기업, 주식회사",16명 (2023년 기준),2001.12.06,S/W개발및System통합개발 ,www.qualitia.co.kr,서울 강남구 언주로 86기 7,"27억 6,339만원 (2021년 기준)",0
30,(주)소닉스,"전자기 측정, 시험 및 분석기구 제조업",손영곤,"중소기업,주식회사,외부감사법인",43명 (2023년 기준),1996.03.21,"자동검사장비(핸드폰부품,백라이트,FPD 검사장비,비젼시스템,조립장비 등),자동제어장치 제조 ",www.shonics.com,충남 천안시 서북구 성환읍 가동길 26-22,0,5768
31,엠케이피(주),반도체 제조용 기계 제조업,전석환,"중소기업,주식회사,병역특례 인증업체",92명 (2023년 기준),2016.01.29,"반도체,디스플레이 제조용 기계 제조/부동산 임대 ",www.mkpsemi.com,경기 화성시 삼성1로1길 40,0,0
32,인텔릭스(주),컴퓨터 제조업,반천식,"중소기업,스타트업,연구소,주식회사",134명 (2023년 기준),2009.02.19,"임베디드하드웨어 제조/연구,개발 ",www.intellics.co.kr,경기 성남시 분당구 판교로 700,210억 96만원 (2022년 기준),5107
33,(주)필옵틱스,디스플레이 제조용 기계 제조업,한기수,"코스닥,중견기업,스타트업,주식회사",288명 (2023년 기준),2008.02.05,"디스플레이,반도체 제조공정용 제작 ",www.philoptics.com/kr,경기 오산시 지곶중앙로 1-19,0,0
34,(주)인텔리코리아,응용 소프트웨어 개발 및 공급업,박승훈,"중소기업,주식회사,수출입기업",35명 (2023년 기준),1995.09.13,0,www.cadian.com,서울 금천구 가산디지털2로 115,"70억 6,353만원 (2022년 기준)",5681
35,(주)코세스,반도체 제조용 기계 제조업,박명순,"코스닥,외부감사법인,수출입기업",194명 (2023년 기준),1994.01.25,반도체장비(초정밀 BGA솔더볼 접착장비) 제조 ,www.koses.co.kr,경기 부천시 산업로 62,0,6825
36,(주)에이루트,기타 주변기기 제조업,서문동군,"코스닥,중소기업,외부감사법인,연구소",76명 (2022년 기준),2002.04.08,"컴퓨터주변기기(POS프린터,RFID프린터,라벨프린터,프린터 메카니즘) 제조,도매 ",www.aroot.co.kr,경기 오산시 가장산업동로 28-6,"535억 2,625만원 (2022년 기준)",4650
37,다산네트웍스,유선 통신장비 제조업,남민우,"코스닥,중견기업,외국인투자기업",76 (2017년 기준),1993.03.04,유무선 통신장비 제조/자동차 전장용 통신 솔루션개발공급/3PL물류 서비스 제공 ,www.dasannetworks.com,경기 성남시 분당구 대왕판교로 644번길 49,"297억 5,697만원 (2017년 기준)",5241
38,(주)쎄크,방사선 장치 제조업,김종현,"외부감사법인,병역특례인증업체",198명 (2023년 기준),2000.03.22,"방사선장치,통신장비,방송장비 제조/무역,전자상거래/연구개발 ",www.seceng.co.kr,경기 수원시 권선구 산업로 155번길 111,"419억 7,739만원 (2022년 기준)",5199
39,(주)지비티코리아,기타 반도체소자 제조업,류선용,"중소기업,주식회사,수출입기업",31명 (2021년 기준),2002.03.22,"전자부품，무역,의료기기(수출용),임대,전대 ",www.gbtkorea.com,경기 군포시 당정로 90,79억 (2021년 기준),4731
40,스냅태그(주),응용 소프트웨어 개발 및 공급업,민경웅,중소기업,25명 (2023년 기준),2020.09.08,0,http://snaptag.co.kr/,경기 성남시 분당구 황새울로359번길 7,0,0
41,(주)그린텍시스템,운송장비용 조명장치 제조업,정인,중소기업,21,2001.5.22,"전자기기제조및판매업,배전반및자동제어장치,무역,점포(자기땅) ",www.gts2000.co.kr,경기 수원시 권선구 산업로92번길 108,"57억 5,625만원",5701
42,봄텍전자주식회사,응용 소프트웨어 개발 및 공급업,이종대,중소기업,60,2002.8.8,"소프트웨어개발및공급,통신기기및미용기기,의료기기,미용기기,통신기기,의료기기,무역 ",www.bomtech.net,서울 강서구 공항대로 322,80억원,4086
43,(주)아울시스템즈,컴퓨터 프로그래밍 서비스업,강병승,중소기업,32,2009.9.25,"소프트웨어자문，개발및공급,정보통신기기,전자상거래업,전산서비스 ",www.owlsystems.co.kr,"서울 영등포구 경인로 775,1동809호,810호","41억 5,200만원",3858
44,(주)컴트루테크놀로지,시스템 소프트웨어 개발 및 공급업,박노현,중소기업,0,1995.11.6,소프트웨어자문개발및공급업,www.comtrue.com,"서울 마포구 매봉산로 45,10층",0,0
45,(주)지에스,일반저울 제조업,최병천,중소기업,21,2017.12.21,계량시스템 및 전자저울 ,www.gssys.co.kr,"경기 용인시 기흥구 흥덕중앙로 120,1405호,1406호…","90억 8,577만원",6.052
46,(주)빅앤딥,통신기기 소매업,김한솔,중소기업,6,2021.1.6,0,0,"서울 송파구 법원로 114,B동 1010호",0,5137
47,(주)포딕스시스템,기타 반도체소자 제조업,정재호,중소기업,53,2011.2.14,"CCTV,영상통신기기,컴퓨터 및 주변기기,전광판,정보통신공사업,컴퓨터 및 주변기기,방송 및 음향기기,CCTV,영상통신기기,무역,소프트웨어개발 ",www.fodics.com,"서울 구로구 디지털로31길 38-9,301동302호",245억원,0
48,(주)이지로보틱스,시스템 소프트웨어 개발 및 공급업,범진환,중소기업,0,2001.2.21,0,www.ezrobotics.com,"경기 수원시 영통구 덕영대로 1556번길 16,D동 1101호",0,0
49,(주)마이띵스,배전반 및 전기 자동제어반 제조업,이상호,중소기업,17,0,"배전반 및 전기 자동제어반 제조업,채소, 화훼 및 과실작물 시설 재배업,컴퓨터 및 사무용 기계ㆍ장비 임대업,시스템 소프트웨어 개발 및 공급업,컴퓨터 프로그 ",www.mythings.co.kr,"대전 유성구 가정북로 96, 302호","11억 2,168만원",5.359
50,(주)지엔텔,기타 엔지니어링 서비스업,이맹희,중견기업,248,2004.2.1,정보통신엔지니어링/전기전자통신기기 제조 ,www.lgntel.com,"서울 금천구 벚꽃로 278,802호-812호","1,253억 7,621만원",7606
51,(주)삼원테크,산업처리공정 제어장비 제조업,이영익,중소기업,44,1998,"제어기기,금형,생체인식기기,통신기기,시험기기 제조/경인쇄 ",www.samwontech.com,경기 부천시 원미구 약대동 192 부천테크노파크 2단지 202-703,"201억 4,202만원",4221
52,(주)앤에이치씨,디스플레이 제조용 기계 제조업,한봉석,중소기업,10,2015,"반도체, 디스플레이 장비 제조업 ",http://inhc.co.kr/,"인천 연수구 송도과학로 56 (송도동, 송도테크노파크BT센터)","23억 9,000만원",5262
53,태하메카트로닉스(주),전기.전자.제어,임상희,중소기업,90,1995,"유산소운동기기(런닝머신,싸이클,일립티컬), 중장비제어기(C...",www.taeha.co.kr,경기 안양시 만안구 박달로 421 ,239억,4637
54,(주)펨트론,그 외 기타 특수목적용 기계 제조업,유영웅,중소기업,202,2002,"3D정밀측정 검사장비 제조/검사측정기,자동측정시스템 개발,...",https://pemtron.com/,서울 금천구 가산디지털1로 219,"609억 8,000만원",4811
55,에이엠텔레콤(주),모바일.App,여민기,중소기업,165,2001,LTE Router / M2M Module / Modem/ 재난망 단말기 ,amtel.co.kr,"경기 성남시 분당구 장미로 42 (야탑동, 야탑리더스) 6층",658억,0
56,(주)젬백스링크,솔루션.SI.CRM.ERP,"김상재,황정일",중소기업,121,2000,"해외명품, 무선인터넷솔루션 개발 ",www.gemvaxlink.com,서울 영등포구 영등포로 272,1000억,5017
57,에스넷아이씨티(주),컴퓨터시스템 통합 자문 및 구축 서비스업,김정순,중소기업,55,2012,"정보통신시스템 설치운영,소프트웨어 개발/정보통신공사/컴...",www.snetict.co.kr,서울 송파구 법원로11길 25,"241억 2,000만원",4999
58,포인트아이(주),네트워크.통신서비스,이봉문,중소기업,54,2018,소프트웨어개발및공급업,www.pointi.com,"서울 강남구 언주로148길 19 (논현동, 청호빌딩) 5층",0,5013
59,BIMPeers,솔루션.SI.CRM.ERP,김경,중소기업,18,2008,"프로젝트 정보 관리 시스템개발, 건축설계지원도구 개발, 모바...",www.bimpeers.com,"서울 서초구 서운로 26-1 (서초동, 보일빌딩) 501호, 601호",15억 2천만,0
60,(주)로엔,기계.기계설비,김상락,중소기업,50,2013,"산업용로봇,Robot자동화,공장자동화,비젼시스템,자율주행로...",www.ro-en.co.kr,경기 파주시 산남로231번가길 59-11 (산남동) 본사/기술연구소,0,4255
